condition,n_runs,test_top1_mean,test_top1_std,test_top5_mean,test_top5_std,test_f1_mean,test_f1_std,val_top1_mean,val_top1_std,avg_train_min,avg_epochs
color,3,0.9628923333333334,0.0034131020103907463,0.9946426666666667,0.0018301741265063266,0.9434853333333333,0.0037766065896957437,0.9644946666666667,0.0027608059209827457,7.1325,20
luma,3,0.9576933333333333,0.0035236487244521704,0.9911586666666666,0.0015861419650628323,0.9347283333333334,0.003775635354921528,0.954135,0.003038635713605749,7.0873333333333335,20
cie_lstar,3,0.9554236666666667,0.003461501745389287,0.9905253333333334,0.0011538034205761795,0.9294856666666667,0.005632823477913475,0.9540513333333333,0.004630349158900814,7.990722222222223,20
lstar_g0,3,0.9484563333333333,0.003706226697509666,0.9890206666666667,0.0006917407992401307,0.924234,0.004691528109262463,0.938513,0.004051514284807549,8.074722222222222,20
cie_y,3,0.9383743333333333,0.004060718696651306,0.986962,0.0009577301290029759,0.9007843333333333,0.004747548560397551,0.933751,0.004150815341592543,6.995888888888889,20
