condition,n_runs,test_top1_mean,test_top1_std,test_top5_mean,test_top5_std,test_f1_mean,test_f1_std,val_top1_mean,val_top1_std,avg_train_min,avg_epochs
color,3,0.315,0.018027756377319962,0.7833333333333333,0.012583057392117927,0.29628766666666667,0.015979560142048117,0.37083333333333335,0.04389855730355306,0.7546666666666667,30
lstar_g0,3,0.22333333333333333,0.03403429642777023,0.7066666666666667,0.018929694486000865,0.20558766666666667,0.048352494054943365,0.25,0.012500000000000011,0.7918888888888889,30
cie_y,3,0.19333333333333333,0.012583057392117914,0.6116666666666667,0.03617089069035121,0.18095266666666668,0.027519420639492635,0.2791666666666667,0.04389855730355309,0.7870555555555555,30
luma,3,0.18666666666666668,0.025166114784235825,0.62,0.03500000000000003,0.17049166666666668,0.023987384941534014,0.29583333333333334,0.014433756729740658,0.8357777777777778,30
cie_lstar,3,0.18,0.018027756377319952,0.63,0.05267826876426374,0.164772,0.023243857080957983,0.2833333333333333,0.007216878364870297,0.7938333333333334,30
